firmware	vendor	partition_hash	default_mac_base	default_mac_size	serial_number_base	serial_number_size	product_info_base	product_info_size
CPE610(UN)_1.0-up-ver2-2-1-P1[20190718-rel41042].bin	CPE610(TP-LINK|UN|N300-5|00000000):1.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE610(UN)_1.0-up-ver2-2-1-P1[20200516-rel40358].bin	CPE610(TP-LINK|UN|N300-5|00000000):1.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE610(UN)_2.0-up-ver2-2-3-P3[20200423-rel71393].bin	CPE610(TP-LINK|UN|N300-5|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE610(UN)_2.0-up-ver2-2-4-P1[20200803-rel49476].bin	CPE610(TP-LINK|UN|N300-5|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
CPE610(UN)_2.0-up-ver2-2-5-P1[20201028-rel54761].bin	CPE610(TP-LINK|UN|N300-5|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
WBS210(UN)_2.0-up-ver2-1-12-P1[20180202-rel58819].bin	WBS210(TP-LINK|UN|N300-2|00000000):2.0	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
WBS210(UN)_2.0-up-ver2-2-0-P1[20190228-rel37156].bin	WBS210(TP-LINK|UN|N300-2|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
WBS210(UN)_2.0-up-ver2-2-1-P1[20190620-rel61524].bin	WBS210(TP-LINK|UN|N300-2|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
pharos-up-ver1-3-3-P4[20151215-rel5855].bin	WBS510(TP-LINK|UN|N300-5):1.20	7324ca34622656cf3264c688245bc56f	0x30000	0x00020			0x31100	0x00100
WBS510(UN)_2.0-up-ver2-1-12-P1[20180202-rel58819].bin	WBS510(TP-LINK|UN|N300-5|00000000):2.0	def4cce79e014387ac0bef96855e0e2f	0x30000	0x00020			0x31100	0x00100
WBS510(UN)_2.0-up-ver2-2-0-P1[20190228-rel32821].bin	WBS510(TP-LINK|UN|N300-5|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
WBS510(UN)_2.0-up-ver2-2-1-P1[20190718-rel40798].bin	WBS510(TP-LINK|UN|N300-5|00000000):2.0	86d2f3dbdbd64373584c702ee77b9991	0x30000	0x00020	0x30100	0x00020	0x31100	0x00100
