kind,lang,page_url,url
tl-wpa8631p-v3,en,https://www.tp-link.com/en/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,en,https://www.tp-link.com/en/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,en,https://www.tp-link.com/en/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,us,https://www.tp-link.com/us/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202111/20211105/TL-WPA8631P KIT(US)_V3_210625.zip
tl-wpa8631p-v3,us,https://www.tp-link.com/us/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200820.zip
tl-wpa8631p-v3,au,https://www.tp-link.com/au/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202109/20210929/TL-WPA8631P(AU)_V3_210625.zip
tl-wpa8631p-v3,in,https://www.tp-link.com/in/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202003/20200323/TL-WPA8631P(EU)_V3_200314.zip
tl-wpa8631p-v3,my,https://www.tp-link.com/my/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,my,https://www.tp-link.com/my/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202003/20200323/TL-WPA8631P(EU)_V3_200314.zip
tl-wpa8631p-v3,sg,https://www.tp-link.com/sg/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200820.zip
tl-wpa8631p-v3,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202003/20200323/TL-WPA8631P(EU)_V3_200314.zip
tl-wpa8631p-v3,bg,https://www.tp-link.com/bg/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,bg,https://www.tp-link.com/bg/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,bg,https://www.tp-link.com/bg/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,cz,https://www.tp-link.com/cz/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,cz,https://www.tp-link.com/cz/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,dk,https://www.tp-link.com/dk/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,dk,https://www.tp-link.com/dk/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,dk,https://www.tp-link.com/dk/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,fi,https://www.tp-link.com/fi/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,fi,https://www.tp-link.com/fi/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,fi,https://www.tp-link.com/fi/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,fr,https://www.tp-link.com/fr/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,fr,https://www.tp-link.com/fr/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,fr,https://www.tp-link.com/fr/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,de,https://www.tp-link.com/de/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,de,https://www.tp-link.com/de/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,gr,https://www.tp-link.com/gr/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,gr,https://www.tp-link.com/gr/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,gr,https://www.tp-link.com/gr/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,hu,https://www.tp-link.com/hu/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,hu,https://www.tp-link.com/hu/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,hu,https://www.tp-link.com/hu/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,it,https://www.tp-link.com/it/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,it,https://www.tp-link.com/it/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,it,https://www.tp-link.com/it/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,nl,https://www.tp-link.com/nl/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,nl,https://www.tp-link.com/nl/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,nl,https://www.tp-link.com/nl/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202003/20200323/TL-WPA8631P(EU)_V3_200314.zip
tl-wpa8631p-v3,no,https://www.tp-link.com/no/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,no,https://www.tp-link.com/no/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202010/20201028/TL-WPA8631P_V3_200927.zip
tl-wpa8631p-v3,no,https://www.tp-link.com/no/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,pl,https://www.tp-link.com/pl/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,pt,https://www.tp-link.com/pt/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
tl-wpa8631p-v3,pt,https://www.tp-link.com/pt/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202005/20200514/TL-WPA8631P(EU)_V3_200508.zip
tl-wpa8631p-v3,pt,https://www.tp-link.com/pt/support/download/tl-wpa8631p/,https://static.tp-link.com/2020/202003/20200323/TL-WPA8631P(EU)_V3_200314.zip
tl-wpa8631p-v3,ro,https://www.tp-link.com/ro/support/download/tl-wpa8631p/,https://static.tp-link.com/upload/firmware/2021/202108/20210811/TL-WPA8631P(EU)_V3_210514.zip
