firmware	partitions_hash	support_list
wpa8631pv3_eu-up-ver3-0-0-P1-20200314-rel3608.bin	33df2a8474670e785fb487dc9392dadf	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:45550000}
wpa8631pv3_eu-up-ver3-0-0-P1-20200508-rel41814-APPLC.bin	68f3408ac2310e81fead071be4238aa9	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:45550000}
wpa8631pv3_us-up-ver3-0-0-P1-20200820-rel39000-APPLC.bin	0771948573fffa726b8927ca6259ea16	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:55530000}
wpa8631pv3_eu-up-ver3-0-0-P1-20200927-rel61199-APPLC.bin	0771948573fffa726b8927ca6259ea16	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:45550000}
wpa8631pv3_eu-up-ver3-0-0-P1-20210514-rel45003-APPLC.bin	0771948573fffa726b8927ca6259ea16	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:45550000}
wpa8631pv3_us-up-ver3-0-0-P1-20210625-rel35759-APPLC.bin	0771948573fffa726b8927ca6259ea16	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:55530000}
wpa8631pv3_au-up-ver3-0-0-P1-20210625-rel42417-APPLC.bin	0771948573fffa726b8927ca6259ea16	{product_name:TL-WPA8631P,product_ver:3.0.0,special_id:41550000}
