kind,lang,page_url,url
tl-wpa8630-kit-v2,sg,https://www.tp-link.com/sg/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630-kit-v2,th,https://www.tp-link.com/th/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630-kit-v2,th,https://www.tp-link.com/th/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
